id,dex_number,region,slug,description,credit,enabled,catchable,abundance,name.ja,name.ja_r,name.ja_t,name.en,name.en2,name.de,name.fr,type.0,type.1,mythical,legendary,ultra_beast,event,height,weight,evo.to,evo.from,base.hp,base.atk,base.def,base.satk,base.sdef,base.spd,evo.mega,evo.mega_x,evo.mega_y,is_form,form_item
566,566,unova,archen,"Restored from a fossil, this ancient bird
Pokémon has wings but can’t yet fly.",,1,1,384,アーケン,Āken,Archen,Archen,,Flapteryx,Arkéapti,Rock,Flying,,,,,5,95,567,,55,112,45,74,45,70,,,,,
567,567,unova,archeops,"Said to be an ancestor of bird Pokémon, the
muscles it uses to flap its wings are still weak,
so it needs a long runway in order to take off.",,1,4,96,アーケオス,Ākeosu,Archeos,Archeops,,Aeropteryx,Aéroptéryx,Rock,Flying,,,,,14,320,,566,75,140,65,112,65,110,,,,,
568,568,unova,trubbish,"This Pokémon was born from a bag stuffed with
trash. Galarian Weezing relish the fumes belched
by Trubbish.",,1,2,384,ヤブクロン,Yabukuron,Yabukuron,Trubbish,,Unratütox,Miamiasme,Poison,,,,,,6,310,569,,50,50,62,40,62,65,,,,,
569,569,unova,garbodor,"The toxic liquid it launches from its right arm
is so virulent that it can kill a weakened
creature instantly.",,1,2,96,ダストダス,Dasutodasu,Dustdas,Garbodor,,Deponitox,Miasmax,Poison,,,,,,19,1073,,568,80,95,82,60,82,75,,,,,
570,570,unova,zorua,"Zorua sometimes transforms into a person and
goes into cities to search for food. When Zorua
does this, it usually takes on the form of a child.",,1,1,384,ゾロア,Zoroa,Zorua,Zorua,,Zorua,Zorua,Dark,,,,,,7,125,571,,40,65,40,80,40,65,,,,,
571,571,unova,zoroark,"Seeking to ease the burden of their solitude,
lonely Trainers tell Zoroark to show illusions
to them.",,1,1,96,ゾロアーク,Zoroāku,Zoroark,Zoroark,,Zoroark,Zoroark,Dark,,,,,,16,811,,570,60,105,60,120,60,105,,,,,
572,572,unova,minccino,"They pet each other with their tails as a form of
greeting. Of the two, the one whose tail is fluffier
is a bit more boastful.",,1,1,384,チラーミィ,Chirāmī,Chillarmy,Minccino,,Picochilla,Chinchidou,Normal,,,,,,4,58,573,,55,50,40,40,40,75,,,,,
573,573,unova,cinccino,"A special oil that seeps through their fur helps
them avoid attacks. The oil fetches a high price
at market.",,1,1,96,チラチーノ,Chirachīno,Chillaccino,Cinccino,,Chillabell,Pashmilla,Normal,,,,,,5,75,,572,75,95,60,65,60,115,,,,,
574,574,unova,gothita,"Even when nobody seems to be around, Gothita
can still be heard making a muted cry. Many believe
it’s speaking to something only it can see.",,1,1,1536,ゴチム,Gochimu,Gothimu,Gothita,,Mollimorba,Scrutella,Psychic,,,,,,4,58,575,,45,30,50,55,65,45,,,,,
575,575,unova,gothorita,"On nights when the stars shine, this Pokémon’s
psychic power is at its strongest. It’s unknown just
what link Gothorita has to the greater universe.",,1,1,384,ゴチミル,Gochimiru,Gothimiru,Gothorita,,Hypnomorba,Mesmérella,Psychic,,,,,,7,180,576,574,60,45,70,75,85,55,,,,,
576,576,unova,gothitelle,"A criminal who was shown his fate by a Gothitelle
went missing that same day and was never
seen again.",,1,1,96,ゴチルゼル,Gochiruzeru,Gothiruselle,Gothitelle,,Morbitesse,Sidérella,Psychic,,,,,,15,440,,575,70,55,95,95,110,65,,,,,
577,577,unova,solosis,"Many say that the special liquid covering this
Pokémon’s body would allow it to survive in
the vacuum of space.",,1,1,1536,ユニラン,Yuniran,Uniran,Solosis,,Monozyto,Nucléos,Psychic,,,,,,3,10,578,,45,30,40,105,50,20,,,,,
578,578,unova,duosion,"Its brain has split into two, and the two
halves rarely think alike. Its actions are
utterly unpredictable.",,1,1,384,ダブラン,Daburan,Doublan,Duosion,,Mitodos,Méios,Psychic,,,,,,6,80,579,577,65,40,50,125,60,30,,,,,
579,579,unova,reuniclus,"It’s said that drinking the liquid surrounding
Reuniclus grants wisdom. Problem is, the liquid is
highly toxic to anything besides Reuniclus itself.",,1,1,96,ランクルス,Rankurusu,Lanculus,Reuniclus,,Zytomega,Symbios,Psychic,,,,,,10,201,,578,110,65,75,125,85,30,,,,,
580,580,unova,ducklett,"They are better at swimming than flying, and they
happily eat their favorite food, peat moss, as they
dive underwater.",,1,1,384,コアルヒー,Koaruhī,Koaruhie,Ducklett,,Piccolente,Couaneton,Water,Flying,,,,,5,55,581,,62,44,50,44,50,55,,,,,
581,581,unova,swanna,"Swanna start to dance at dusk. The one dancing in
the middle is the leader of the flock.",,1,1,96,スワンナ,Suwanna,Swanna,Swanna,,Swaroness,Lakmécygne,Water,Flying,,,,,13,242,,580,75,87,63,87,63,98,,,,,
582,582,unova,vanillite,"Supposedly, this Pokémon was born from an
icicle. It spews out freezing air at −58 degrees
Fahrenheit to make itself more comfortable.",,1,3,1536,バニプッチ,Baniputchi,Vanipeti,Vanillite,,Gelatini,Sorbébé,Ice,,,,,,4,57,583,,36,50,50,65,60,44,,,,,
583,583,unova,vanillish,"It blasts enemies with cold air reaching −148
degrees Fahrenheit, freezing them solid. But it
spares their lives afterward—it’s a kind Pokémon.",,1,3,384,バニリッチ,Baniritchi,Vanirich,Vanillish,,Gelatroppo,Sorboul,Ice,,,,,,11,410,584,582,51,65,65,80,75,59,,,,,
584,584,unova,vanilluxe,"People believe this Pokémon formed when two
Vanillish stuck together. Its body temperature is
roughly 21 degrees Fahrenheit.",,1,3,96,バイバニラ,Baibanira,Baivanilla,Vanilluxe,,Gelatwino,Sorbouboul,Ice,,,,,,13,575,,583,71,95,85,110,95,79,,,,,
585,585,unova,deerling,"The turning of the seasons changes the color and
scent of this Pokémon’s fur. People use it to mark
the seasons.",,1,1,384,シキジカ,Shikijika,Shikijika,Deerling,,Sesokitz,Vivaldaim,Normal,Grass,,,,,6,195,586,,60,60,50,40,50,75,,,,,
586,586,unova,sawsbuck,"They migrate according to the seasons, so some
people call Sawsbuck the harbingers of spring.",,1,1,96,メブキジカ,Mebukijika,Mebukijika,Sawsbuck,,Kronjuwild,Haydaim,Normal,Grass,,,,,19,925,,585,80,100,70,60,70,95,,,,,
587,587,unova,emolga,"This Pokémon absolutely loves sweet berries.
Sometimes it stuffs its cheeks full of so much
food that it can’t fly properly.",,1,1,96,エモンガ,Emonga,Emonga,Emolga,,Emolga,Emolga,Electric,Flying,,,,,4,50,,,55,75,60,75,60,103,,,,,
588,588,unova,karrablast,"It spits a liquid from its mouth to melt through
Shelmet’s shell. Karrablast doesn’t eat the shell—
it eats only the contents.",,1,1,384,カブルモ,Kaburumo,Kaburumo,Karrablast,,Laukaps,Carabing,Bug,,,,,,5,59,589,,50,75,45,40,45,60,,,,,
589,589,unova,escavalier,"It charges its enemies, lances at the ready.
An image of one of its duels is captured in a famous
painting of Escavalier clashing with Sirfetch’d.",,1,2,96,シュバルゴ,Shubarugo,Chevargo,Escavalier,,Cavalanzas,Lançargot,Bug,Steel,,,,,10,330,,588,70,135,105,60,105,20,,,,,
590,590,unova,foongus,"The spores released from this Pokémon’s hands
are highly poisonous, but when thoroughly dried,
the spores can be used as stomach medicine.",,1,1,384,タマゲタケ,Tamagetake,Tamagetake,Foongus,,Tarnpignon,Trompignon,Grass,Poison,,,,,2,10,591,,69,55,45,55,55,15,,,,,
591,591,unova,amoonguss,"Amoonguss generally doesn’t move much. It
tends to stand still near Poké Balls that have
been dropped on the ground.",,1,1,96,モロバレル,Morobareru,Morobareru,Amoonguss,,Hutsassa,Gaulet,Grass,Poison,,,,,6,105,,590,114,85,70,85,80,30,,,,,
592,592,unova,frillish,"Legend has it that the residents of a sunken
ancient city changed into these Pokémon.",,1,4,384,プルリル,Pururiru,Pururill,Frillish,,Quabbel,Viskuse,Water,Ghost,,,,,12,330,593,,55,40,50,65,85,40,,,,,
593,593,unova,jellicent,"Whenever a full moon hangs in the night sky,
schools of Jellicent gather near the surface of
the sea, waiting for their prey to appear.",,1,4,96,ブルンゲル,Burungeru,Burungel,Jellicent,,Apoquallyp,Moyade,Water,Ghost,,,,,22,1350,,592,100,60,70,85,105,60,,,,,
594,594,unova,alomomola,"The reason it helps Pokémon in a weakened
condition is that any Pokémon coming after
them may also attack Alomomola.",,1,4,96,ママンボウ,Mamanbō,Mamanbou,Alomomola,,Mamolida,Mamanbo,Water,,,,,,12,316,,,165,75,80,40,45,65,,,,,
595,595,unova,joltik,"Joltik latch on to other Pokémon and suck out
static electricity. They’re often found sticking to
Yamper’s hindquarters.",,1,2,384,バチュル,Bachuru,Bachuru,Joltik,,Wattzapf,Statitik,Bug,Electric,,,,,1,6,596,,50,47,50,57,50,65,,,,,
596,596,unova,galvantula,"It lays traps of electrified threads near the nests
of bird Pokémon, aiming to snare chicks that are
not yet good at flying.",,1,2,96,デンチュラ,Denchura,Dentula,Galvantula,,Voltula,Mygavolt,Bug,Electric,,,,,8,143,,595,70,77,60,97,60,108,,,,,
597,597,unova,ferroseed,"Mossy caves are their preferred dwellings.
Enzymes contained in mosses help Ferroseed’s
spikes grow big and strong.",,1,2,384,テッシード,Tesshīdo,Tesseed,Ferroseed,,Kastadur,Grindur,Grass,Steel,,,,,6,188,598,,44,50,91,24,86,10,,,,,
598,598,unova,ferrothorn,"Its spikes are harder than steel. This Pokémon
crawls across rock walls by stabbing the spikes
on its feelers into the stone.",,1,2,96,ナットレイ,Nattorei,Nutrey,Ferrothorn,,Tentantel,Noacier,Grass,Steel,,,,,10,1100,,597,74,94,131,54,116,20,,,,,
599,599,unova,klink,"It’s suspected that Klink were the inspiration
behind ancient people’s invention of the
first gears.",,1,2,1536,ギアル,Giaru,Giaru,Klink,,Klikk,Tic,Steel,,,,,,3,210,600,,40,55,70,45,60,30,,,,,
600,600,unova,klang,"Many companies in the Galar region choose
Klang as their logo. This Pokémon is considered
the symbol of industrial technology.",,1,2,384,ギギアル,Gigiaru,Gigiaru,Klang,,Kliklak,Clic,Steel,,,,,,6,510,601,599,60,80,95,70,85,50,,,,,
601,601,unova,klinklang,"The three gears that compose this Pokémon
spin at high speed. Its new spiked gear isn’t
a living creature.",,1,2,96,ギギギアル,Gigigiaru,Gigigiaru,Klinklang,,Klikdiklak,Cliticlic,Steel,,,,,,6,810,,600,60,100,115,70,85,90,,,,,
602,602,unova,tynamo,"One alone can emit only a trickle of electricity,
so a group of them gathers to unleash a powerful
electric shock.",,1,1,1536,シビシラス,Shibishirasu,Shibishirasu,Tynamo,,Zapplardin,Anchwatt,Electric,,,,,,2,3,603,,35,55,40,45,40,60,,,,,
603,603,unova,eelektrik,"These Pokémon have a big appetite. When they
spot their prey, they attack it and paralyze it
with electricity.",,1,4,384,シビビール,Shibibīru,Shibibeel,Eelektrik,,Zapplalek,Lampéroie,Electric,,,,,,12,220,604,602,65,85,70,75,70,40,,,,,
604,604,unova,eelektross,"They crawl out of the ocean using their arms.
They will attack prey on shore and immediately drag
it into the ocean.",,1,4,96,シビルドン,Shibirudon,Shibirudon,Eelektross,,Zapplarang,Ohmassacre,Electric,,,,,,21,805,,603,85,115,80,105,80,50,,,,,
605,605,unova,elgyem,"This Pokémon was discovered about 50 years
ago. Its highly developed brain enables it to
exert its psychic powers.",,1,2,384,リグレー,Rigurē,Ligray,Elgyem,,Pygraulon,Lewsor,Psychic,,,,,,5,90,606,,55,55,55,85,55,30,,,,,
606,606,unova,beheeyem,"Sometimes found drifting above wheat fields,
this Pokémon can control the memories of
its opponents.",,1,2,96,オーベム,Ōbemu,Ohbem,Beheeyem,,Megalon,Neitram,Psychic,,,,,,10,345,,605,75,75,75,125,95,40,,,,,
607,607,unova,litwick,"The younger the life this Pokémon absorbs,
the brighter and eerier the flame on its
head burns.",,1,2,1536,ヒトモシ,Hitomoshi,Hitomoshi,Litwick,,Lichtel,Funécire,Ghost,Fire,,,,,3,31,608,,50,30,55,65,55,20,,,,,
608,608,unova,lampent,"It lurks in cities, pretending to be a lamp.
Once it finds someone whose death is near,
it will trail quietly after them.",,1,1,384,ランプラー,Ranpurā,Lampler,Lampent,,Laternecto,Mélancolux,Ghost,Fire,,,,,6,130,609,607,60,40,60,95,60,55,,,,,
609,609,unova,chandelure,"In homes illuminated by Chandelure instead of
lights, funerals were a constant occurrence—
or so it’s said.",,1,1,96,シャンデラ,Shandera,Chandela,Chandelure,,Skelabra,Lugulabre,Ghost,Fire,,,,,10,343,,608,60,55,90,145,90,80,,,,,
610,610,unova,axew,"They play with each other by knocking their large
tusks together. Their tusks break sometimes, but
they grow back so quickly that it isn’t a concern.",,1,1,1536,キバゴ,Kibago,Kibago,Axew,,Milza,Coupenotte,Dragon,,,,,,6,180,611,,46,87,60,30,40,57,,,,,
611,611,unova,fraxure,"Its skin is as hard as a suit of armor. Fraxure’s
favorite strategy is to tackle its opponents,
stabbing them with its tusks at the same time.",,1,1,384,オノンド,Onondo,Onondo,Fraxure,,Sharfax,Incisache,Dragon,,,,,,10,360,612,610,66,117,70,40,50,67,,,,,
612,612,unova,haxorus,"While usually kindhearted, it can be terrifying if
angered. Tusks that can slice through steel beams
are how Haxorus deals with its adversaries.",,1,1,96,オノノクス,Ononokusu,Ononokus,Haxorus,,Maxax,Tranchodon,Dragon,,,,,,18,1055,,611,76,147,90,60,70,97,,,,,
613,613,unova,cubchoo,"It sniffles before performing a move, using its
frosty snot to provide an icy element to any
move that needs it.",,1,1,384,クマシュン,Kumashun,Kumasyun,Cubchoo,,Petznief,Polarhume,Ice,,,,,,5,85,614,,55,70,40,60,40,40,,,,,
614,614,unova,beartic,"It swims energetically through frigid seas.
When it gets tired, it freezes the seawater
with its breath so it can rest on the ice.",,1,1,96,ツンベアー,Tsunbeā,Tunbear,Beartic,,Siberio,Polagriffe,Ice,,,,,,26,2600,,613,95,130,80,70,80,50,,,,,
615,615,unova,cryogonal,"They are composed of ice crystals. They capture
prey with chains of ice, freezing the prey at
-148 degrees Fahrenheit.",,1,2,96,フリージオ,Furījio,Freegeo,Cryogonal,,Frigometri,Hexagel,Ice,,,,,,11,1480,,,80,50,50,95,135,105,,,,,
616,616,unova,shelmet,"It has a strange physiology that responds to
electricity. When together with Karrablast,
Shelmet evolves for some reason.",,1,1,384,チョボマキ,Chobomaki,Chobomaki,Shelmet,,Schnuthelm,Escargaume,Bug,,,,,,4,77,617,,50,40,85,40,65,25,,,,,
617,617,unova,accelgor,"Discarding its shell made it nimble. To keep
itself from dehydrating, it wraps its body in
bands of membrane.",,1,1,96,アギルダー,Agirudā,Agilder,Accelgor,,Hydragil,Limaspeed,Bug,,,,,,8,253,,616,80,70,40,100,60,145,,,,,
618,618,unova,stunfisk,"For some reason, this Pokémon smiles slightly when it emits a strong electric current from the yellow markings on its body.",,1,4,96,マッギョ,Maggyo,Maggyo,Stunfisk,,Flunschlik,Limonde,Ground,Electric,,,,,7,110,,,109,66,84,81,99,32,,,,,
619,619,unova,mienfoo,"Though small, Mienfoo’s temperament is fierce.
Any creature that approaches Mienfoo carelessly
will be greeted with a flurry of graceful attacks.",,1,1,384,コジョフー,Kojofū,Kojofu,Mienfoo,,Lin-Fu,Kungfouine,Fighting,,,,,,9,200,620,,45,85,50,55,50,65,,,,,
620,620,unova,mienshao,"Delivered at blinding speeds, kicks from this
Pokémon can shatter massive boulders into
tiny pieces.",,1,1,96,コジョンド,Kojondo,Kojondo,Mienshao,,Wie-Shu,Shaofouine,Fighting,,,,,,14,355,,619,65,125,60,95,60,105,,,,,
621,621,unova,druddigon,"Druddigon are vicious and cunning. They take up
residence in nests dug out by other Pokémon,
treating the stolen nests as their own lairs.",,1,2,96,クリムガン,Kurimugan,Crimgan,Druddigon,,Shardrago,Drakkarmin,Dragon,,,,,,16,1390,,,77,120,90,60,90,48,,,,,
622,622,unova,golett,"This Pokémon was created from clay. It received
orders from its master many thousands of years
ago, and it still follows those orders to this day.",,1,2,384,ゴビット,Gobitto,Gobit,Golett,,Golbit,Gringolem,Ground,Ghost,,,,,10,920,623,,59,74,50,35,50,35,,,,,
623,623,unova,golurk,"There’s a theory that inside Golurk is a perpetual
motion machine that produces limitless energy,
but this belief hasn’t been proven.",,1,2,96,ゴルーグ,Gorūgu,Goloog,Golurk,,Golgantes,Golemastoc,Ground,Ghost,,,,,28,3300,,622,89,124,80,55,80,55,,,,,
624,624,unova,pawniard,"A pack of these Pokémon forms to serve a
Bisharp boss. Each Pawniard trains diligently,
dreaming of one day taking the lead.",,1,2,384,コマタナ,Komatana,Komatana,Pawniard,,Gladiantri,Scalpion,Dark,Steel,,,,,5,102,625,,45,85,70,40,40,60,,,,,
625,625,unova,bisharp,"Violent conflicts erupt between Bisharp and
Fraxure over places where sharpening stones
can be found.",,1,2,96,キリキザン,Kirikizan,Kirikizan,Bisharp,,Caesurio,Scalproie,Dark,Steel,,,,,16,700,,624,65,125,100,60,70,70,,,,,
626,626,unova,bouffalant,"These Pokémon live in herds of about 20
individuals. Bouffalant that betray the herd will
lose the hair on their heads for some reason.",,1,1,96,バッフロン,Baffuron,Buffron,Bouffalant,,Bisofank,Frison,Normal,,,,,,16,946,,,95,110,95,40,95,55,,,,,
627,627,unova,rufflet,"A combative Pokémon, it’s ready to pick a fight
with anyone. It has talons that can crush
hard berries.",,1,1,384,ワシボン,Washibon,Washibon,Rufflet,,Geronimatz,Furaiglon,Normal,Flying,,,,,5,105,628,,70,83,50,37,50,60,,,,,
628,628,unova,braviary,"Because this Pokémon is hotheaded and
belligerent, it’s Corviknight that’s taken
the role of transportation in Galar.",,1,3,96,ウォーグル,Wōguru,Warrgle,Braviary,,Washakwil,Gueriaigle,Normal,Flying,,,,,15,410,,627,100,123,75,57,75,80,,,,,
629,629,unova,vullaby,"Vullaby grow quickly. Bones that have gotten too
small for older Vullaby to wear often get passed
down to younger ones in the nest.",,1,1,384,バルチャイ,Baruchai,Valchai,Vullaby,,Skallyk,Vostourno,Dark,Flying,,,,,5,90,630,,70,55,75,45,65,60,,,,,
630,630,unova,mandibuzz,"They adorn themselves with bones. There seem
to be fashion trends among them, as different
bones come into and fall out of popularity.",,1,1,96,バルジーナ,Barujīna,Vulgina,Mandibuzz,,Grypheldis,Vaututrice,Dark,Flying,,,,,12,395,,629,110,65,105,55,95,80,,,,,
631,631,unova,heatmor,"A flame serves as its tongue, melting through the
hard shell of Durant so that Heatmor can devour
their insides.",,1,2,96,クイタラン,Kuitaran,Kuitaran,Heatmor,,Furnifraß,Aflamanoir,Fire,,,,,,14,580,,,85,97,66,105,66,65,,,,,
632,632,unova,durant,"With their large mandibles, these Pokémon can
crunch their way through rock. They work
together to protect their eggs from Sandaconda.",,1,1,96,アイアント,Aianto,Aiant,Durant,,Fermicula,Fermite,Bug,Steel,,,,,3,330,,,58,109,112,48,48,109,,,,,
633,633,unova,deino,"Because it can’t see, this Pokémon is constantly
biting at everything it touches, trying to keep
track of its surroundings.",,1,2,1024,モノズ,Monozu,Monozu,Deino,,Kapuno,Solochi,Dark,Dragon,,,,,8,173,634,,52,65,50,45,50,38,,,,,
634,634,unova,zweilous,"Their two heads will fight each other over a
single piece of food. Zweilous are covered in
scars even without battling others.",,1,2,256,ジヘッド,Jiheddo,Dihead,Zweilous,,Duodino,Diamat,Dark,Dragon,,,,,14,500,635,633,72,85,70,65,70,58,,,,,
635,635,unova,hydreigon,"The three heads take turns sinking their teeth into
the opponent. Their attacks won’t slow until their
target goes down.",,1,3,64,サザンドラ,Sazandora,Sazandora,Hydreigon,,Trikephalo,Trioxhydre,Dark,Dragon,,,,,18,1600,,634,92,105,90,125,90,98,,,,,
636,636,unova,larvesta,"Larvesta’s body is warm all over. It spouts fire
from the tips of its horns to intimidate predators
and scare prey.",,1,1,384,メラルバ,Meraruba,Merlarva,Larvesta,,Ignivor,Pyronille,Bug,Fire,,,,,11,288,637,,55,85,55,50,55,60,,,,,
637,637,unova,volcarona,"This Pokémon emerges from a cocoon formed of
raging flames. Ancient murals depict Volcarona as
a deity of fire.",,1,1,96,ウルガモス,Urugamosu,Ulgamoth,Volcarona,,Ramoth,Pyrax,Bug,Fire,,,,,16,460,,636,85,60,65,135,105,100,,,,,
638,638,unova,cobalion,"It has a body and heart of steel. It worked with its
allies to punish people when they hurt Pokémon.",,1,1,6,コバルオン,Kobaruon,Cobalon,Cobalion,,Kobalium,Cobaltium,Steel,Fighting,,1,,,21,2500,,,91,90,129,90,72,108,,,,,
639,639,unova,terrakion,"Spoken of in legend, this Pokémon used its
phenomenal power to destroy a castle in its effort
to protect Pokémon.",,1,1,6,テラキオン,Terakion,Terrakion,Terrakion,,Terrakium,Terrakium,Rock,Fighting,,1,,,19,2600,,,91,129,90,72,90,108,,,,,
640,640,unova,virizion,"Legends say this Pokémon confounded opponents
with its swift movements.",,1,1,6,ビリジオン,Birijion,Virizion,Virizion,,Viridium,Viridium,Grass,Fighting,,1,,,20,2000,,,91,90,72,90,129,108,,,,,
641,641,unova,tornadus,"Tornadus expels massive energy from its tail,
causing severe storms. Its power is great enough
to blow houses away.",,1,3,6,トルネロス,Torunerosu,Tornelos,Tornadus,,Boreos,Boréas,Flying,,,1,,,15,630,,,79,115,70,125,80,111,,,,,
642,642,unova,thundurus,"As it flies around, it shoots lightning all over
the place and causes forest fires. It is
therefore disliked.",,1,3,6,ボルトロス,Borutorosu,Voltolos,Thundurus,,Voltolos,Fulguris,Electric,Flying,,1,,,15,610,,,79,115,70,125,80,111,,,,,
643,643,unova,reshiram,"According to myth, if people ignore truth and
let themselves become consumed by greed,
Reshiram will arrive to burn their kingdoms down.",,1,3,6,レシラム,Reshiramu,Reshiram,Reshiram,,Reshiram,Reshiram,Dragon,Fire,,1,,,32,3300,,,100,120,100,150,120,90,,,,,
644,644,unova,zekrom,"Mythology tells us that if people lose the
righteousness in their hearts, their kingdoms
will be razed by Zekrom’s lightning.",,1,2,6,ゼクロム,Zekuromu,Zekrom,Zekrom,,Zekrom,Zekrom,Dragon,Electric,,1,,,29,3450,,,100,150,120,120,100,90,,,,,
645,645,unova,landorus,"From the forces of lightning and wind, it creates
energy to give nutrients to the soil and make the
land abundant.",,1,3,6,ランドロス,Randorosu,Landlos,Landorus,,Demeteros,Démétéros,Ground,Flying,,1,,,15,680,,,89,125,90,115,80,101,,,,,
646,646,unova,kyurem,"The sameness of Zekrom’s and Kyurem’s genes
allowed Kyurem to absorb Zekrom. Kyurem can
now use the power of both electricity and ice.",,1,2,6,キュレム,Kyuremu,Kyurem,Kyurem,,Kyurem,Kyurem,Dragon,Ice,,1,,,30,3250,,,125,130,90,130,90,95,,,,,
647,647,unova,keldeo,"When it is resolute, its body fills with power and it
becomes swifter. Its jumps are then too fast
to follow.",,1,1,12,ケルディオ,Kerudio,Keldeo,Keldeo,,Keldeo,Keldeo,Water,Fighting,1,,,,14,485,,,91,72,90,129,90,108,,,,,
648,648,unova,meloetta,"Its melodies are sung with a special vocalization
method that can control the feelings of those who
hear it.",,1,1,12,メロエッタ,Meroetta,Meloetta,Meloetta,,Meloetta,Meloetta,Normal,Psychic,1,,,,6,65,,,100,77,77,128,128,90,,,,,
649,649,unova,genesect,"This Pokémon existed 300 million years ago. Team
Plasma altered it and attached a cannon to its back.",,1,2,12,ゲノセクト,Genosekuto,Genesect,Genesect,,Genesect,Genesect,Bug,Steel,1,,,,15,825,,,71,120,95,120,95,99,,,,,
650,650,kalos,chespin,"Such a thick shell of wood covers its head and back
that even a direct hit from a truck wouldn’t faze it.",,1,1,512,ハリマロン,Harimaron,Harimaron,Chespin,,Igamaro,Marisson,Grass,,,,,,4,90,651,,56,61,65,48,45,38,,,,,
651,651,kalos,quilladin,"They strengthen their lower bodies by
running into one another. They are very
kind and won’t start fights.",,1,1,384,ハリボーグ,Haribōgu,Hariborg,Quilladin,,Igastarnish,Boguérisse,Grass,,,,,,7,290,652,650,61,78,95,56,58,57,,,,,
652,652,kalos,chesnaught,"When it takes a defensive posture with its fists
guarding its face, it could withstand a bomb blast.",,1,1,96,ブリガロン,Burigaron,Brigarron,Chesnaught,,Brigaron,Blindépique,Grass,Fighting,,,,,16,900,,651,88,107,122,74,75,64,,,,,
653,653,kalos,fennekin,"As it walks, it munches on a twig in place
of a snack. It intimidates opponents
by puffing hot air out of its ears.",,1,1,512,フォッコ,Fokko,Fokko,Fennekin,,Fynx,Feunnec,Fire,,,,,,4,94,654,,40,45,40,62,60,60,,,,,
654,654,kalos,braixen,"When the twig is plucked from its tail,
friction sets the twig alight. The flame
is used to send signals to its allies.",,1,1,384,テールナー,Tērunā,Tairenar,Braixen,,Rutena,Roussil,Fire,,,,,,10,145,655,653,59,59,58,90,70,73,,,,,
655,655,kalos,delphox,"Using psychic power, it generates a
fiery vortex of 5,400 degrees Fahrenheit,
incinerating foes swept into this whirl of flame.",,1,1,96,マフォクシー,Mafokushī,Mahoxy,Delphox,,Fennexis,Goupelin,Fire,Psychic,,,,,15,390,,654,75,69,72,114,100,104,,,,,
656,656,kalos,froakie,"It protects its skin by covering its body in
delicate bubbles. Beneath its happy-go-lucky air,
it keeps a watchful eye on its surroundings.",,1,1,512,ケロマツ,Keromatsu,Keromatsu,Froakie,,Froxy,Grenousse,Water,,,,,,3,70,657,,41,56,40,62,44,71,,,,,
657,657,kalos,frogadier,"Its swiftness is unparalleled.
It can scale a tower of more
than 2,000 feet in a minute’s time.",,1,1,384,ゲコガシラ,Gekogashira,Gekogashira,Frogadier,,Amphizel,Croâporal,Water,,,,,,6,109,658,656,54,63,52,83,56,97,,,,,
658,658,kalos,greninja,"It appears and vanishes with a ninja’s grace.
It toys with its enemies using swift movements, while
slicing them with throwing stars of sharpest water.",,1,1,96,ゲッコウガ,Gekkōga,Gekkouga,Greninja,,Quajutsu,Amphinobi,Water,Dark,,,,,15,400,,657,72,95,67,103,71,122,,,,,
659,659,kalos,bunnelby,"It’s very sensitive to danger. The sound of
Corviknight’s flapping will have Bunnelby
digging a hole to hide underground in moments.",,1,1,384,ホルビー,Horubī,Horubee,Bunnelby,,Scoppel,Sapereau,Normal,,,,,,4,50,660,,38,36,38,32,36,57,,,,,
660,660,kalos,diggersby,"The fur on its belly retains heat exceptionally
well. People used to make heavy winter clothing
from fur shed by this Pokémon.",,1,1,96,ホルード,Horūdo,Horudo,Diggersby,,Grebbit,Excavarenne,Normal,Ground,,,,,10,424,,659,85,56,77,50,77,78,,,,,
661,661,kalos,fletchling,"When this Pokémon gets excited, its body
temperature increases sharply. If you touch a
Fletchling with bare hands, you might get burned.",,1,1,1536,ヤヤコマ,Yayakoma,Yayakoma,Fletchling,,Dartiri,Passerouge,Normal,Flying,,,,,3,17,662,,45,50,43,40,38,62,,,,,
662,662,kalos,fletchinder,"Fletchinder are exceedingly territorial and
aggressive. These Pokémon fight among
themselves over feeding grounds.",,1,1,384,ヒノヤコマ,Hinoyakoma,Hinoyakoma,Fletchinder,,Dartignis,Braisillon,Fire,Flying,,,,,7,160,663,661,62,73,55,56,52,84,,,,,
663,663,kalos,talonflame,"Talonflame dives toward prey at speeds of up to
310 mph and assaults them with powerful kicks,
giving the prey no chance to escape.",,1,3,96,ファイアロー,Faiarō,Fiarrow,Talonflame,,Fiaro,Flambusard,Fire,Flying,,,,,12,245,,662,78,81,71,74,69,126,,,,,
664,664,kalos,scatterbug,"The powder that covers its body
regulates its temperature, so it
can live in any region or climate.",,1,1,1536,コフキムシ,Kofukimushi,Kofukimushi,Scatterbug,,Purmel,Lépidonille,Bug,,,,,,3,25,665,,38,35,40,27,25,35,,,,,
665,665,kalos,spewpa,"The beaks of bird Pokémon can’t begin
to scratch its stalwart body.
To defend itself, it spews powder.",,1,1,384,コフーライ,Kofūrai,Kofuurai,Spewpa,,Puponcho,Pérégrain,Bug,,,,,,3,84,666,664,45,22,60,27,30,29,,,,,
